priority,account,country,website,observable_signal,likely_interview_value,qualification_status,public_contact_route,next_action
1,Velvot,Nigeria,https://velvot.com/services.php,"Microsoft 365/Azure plus managed IT support, monitoring and service management","Potential operator-led MSP; ask about recurring M365 user lifecycle work",unverified,gtm@velvot.com,"Route to managed-services/service-delivery lead"
2,Salcomms,Nigeria,https://salcomms.com/managed-services/,"Managed Microsoft 365, Teams, SharePoint and OneDrive support","Direct fit for user lifecycle and cross-tool support discovery",unverified,https://salcomms.com/managed-services/,"Request 25-minute workflow interview"
3,CoreLabz Technologies,Kenya,https://corelabz.com/services/work,"Implements, secures and operates both Microsoft 365 and Google Workspace","Strong test of whether cross-vendor assurance is more valuable than Microsoft-only",unverified,https://corelabz.com/services/work,"Route to managed-support owner"
4,Neuratech,Kenya,https://www.neuratech.co.ke/services/microsoft-solutions-licensing/microsoft-365-solutions/,"Microsoft 365 deployment, user onboarding and ongoing management","Good workflow-artifact and recurring-support candidate",unverified,https://www.neuratech.co.ke/,"Request recent offboarding walkthrough"
5,Prymage Consultancy,Ghana,https://prymage.com/products/microsoft,"Microsoft 365 licensing, deployment and dedicated local support; states 100+ businesses served","May manage enough SMB tenants for repeatable lifecycle pain",unverified,https://prymage.com/products/microsoft,"Route to support/service-delivery lead"
6,GDS Africa,Ghana,https://www.gdsafrica.com/microsoft,"Microsoft Modern Work, Entra/security and managed IT across Ghana/West Africa","Useful multi-tenant/Lighthouse expert interview",unverified,https://www.gdsafrica.com/microsoft,"Ask how managed-service user exits are executed and evidenced"
7,Axxend Limited,Ghana,https://main.prod.marketplacepartnerdirectory.azure.com/partners/20f0fd78-582c-4a5c-86a1-8dad96b2d08a,"Microsoft directory lists M365 and Managed Services (MSP)","Strong verified service-category signal; size and frequency unknown",unverified,https://main.prod.marketplacepartnerdirectory.azure.com/partners/20f0fd78-582c-4a5c-86a1-8dad96b2d08a,"Use directory contact route"
8,Multiskills Nigeria,Nigeria,https://multiskills-ng.com/,"Microsoft 365/Azure partner; managed services include tenant administration, licensing and user support","Good license-reclamation and tenant-operations interview",unverified,https://multiskills-ng.com/,"Route to managed cloud operations"
9,SATH Cloud,Nigeria,https://www.cloudsa-africa.com/cloudsa-microsoft-partner-in-nigeria/,"Modern Work, M365 licensing, Microsoft security and ongoing support","Strong Lighthouse/first-party-alternative test",unverified,https://www.cloudsa-africa.com/cloudsa-microsoft-partner-in-nigeria/,"Request service-delivery or cloud-operations interview"
10,TechSpecialist Limited,Nigeria,https://techspecialistlimited.com/services,"Microsoft-based workflow automation with monthly managed-service retainers","May be competitor/implementation alternative; valuable kill-test interview",unverified,info@techspecialistlimited.com,"Ask whether offboarding is solved as services or needs product"
11,Inlaks,Nigeria,https://www.inlaks.com/cloud/,"Microsoft CSP delivering M365, support and billing","Likely larger integrator; useful expert interview, less likely early pilot",unverified,info@inlaks.com,"Route to cloud managed-services leader"
12,Wragby Business Solutions,Nigeria,https://wragbysolutions.com/,"Microsoft Azure Expert MSP and broad managed IT services","High-expertise interview; probably outside initial small-MSP ICP",unverified,https://wragbysolutions.com/,"Ask for operator perspective/referral to smaller MSP"
13,Sophia ERP,Nigeria,https://sophiaerp.com/erp/service_details.aspx?PID=hWp+z2VPPEaKeaE94O25qw%3D%3D,"Microsoft CSP with Office 365 licensing, deployment and continuous support","Possible lifecycle workflow but MSP depth not yet observed",unverified,contact@sophiaerp.com,"Confirm managed tenants and recurring support model"
14,Silicon Overdrive,Kenya,https://www.overdrive.co.ke/microsoft/,"Microsoft Modern Workplace, Azure and managed IT services","Potential MSP interview; operating scale unknown",unverified,https://www.overdrive.co.ke/microsoft/,"Route to Modern Workplace practice lead"
15,CowrieTech,Kenya,https://cowrietech.com/microsoft.php,"M365 licensing/migration plus managed services","Potential recurring-support candidate; identity depth unknown",unverified,https://cowrietech.com/microsoft.php,"Confirm multi-tenant management and offboarding volume"
16,Priori Technologies,Kenya,https://priori.co.ke/,"Microsoft 365 Modern Workspace and related managed technology services","Possible Microsoft-focused support provider",unverified,https://priori.co.ke/,"Confirm MSP model before interview count"

